content,clean_tokens,stemmed,label
alsut sdh tdk harum nih kurang fresh udaranya,"['alsut', 'sdh', 'tdk', 'harum', 'nih', 'kurang', 'fresh', 'udaranya']","['alsut', 'sdh', 'tdk', 'harum', 'nih', 'fresh', 'udara']",1
aplikasi yang sekarang koq ngaco. Nggak muncul gambar dan video trailer apapun,"['aplikasi', 'yang', 'sekarang', 'koq', 'ngaco', 'nggak', 'muncul', 'gambar', 'dan', 'video', 'trailer', 'apapun']","['aplikasi', 'koq', 'ngaco', 'nggak', 'muncul', 'gambar', 'video', 'trailer', 'apa']",1
good,['good'],['good'],1
m.tix keren bgt,"['m.tix', 'keren', 'bgt']","['m tix', 'keren', 'bgt']",1
poster nya ilang mulu jadi bingung mo nonton apa,"['poster', 'nya', 'ilang', 'mulu', 'jadi', 'bingung', 'mo', 'nonton', 'apa']","['poster', 'ilang', 'mulu', 'bingung', 'mo', 'nonton']",0
ok,['ok'],['ok'],1
aplikasi m-tix saya tiba2 gak bisa nonton cuplikan film nya padahal sebelumnya bisa ... lalu saya uninstall..dan saya install kembali..tapi tetep gak bisa di putar video nya ... gambar film2 nya pun tidak terlihat ...hanya kotak kosong saja ...knp ya? bingung,"['aplikasi', 'm-tix', 'saya', 'tiba2', 'gak', 'bisa', 'nonton', 'cuplikan', 'film', 'nya', 'padahal', 'sebelumnya', 'bisa', 'lalu', 'saya', 'uninstall', 'dan', 'saya', 'install', 'kembali', 'tapi', 'tetep', 'gak', 'bisa', 'di', 'putar', 'video', 'nya', 'gambar', 'film2', 'nya', 'pun', 'tidak', 'terlihat', 'hanya', 'kotak', 'kosong', 'saja', 'knp', 'ya', 'bingung']","['aplikasi', 'm-tix', 'tiba2', 'gak', 'nonton', 'cuplik', 'film', 'uninstall', 'install', 'tetep', 'gak', 'putar', 'video', 'gambar', 'film2', 'kotak', 'kosong', 'knp', 'bingung']",0
maju terus,"['maju', 'terus']",['maju'],1
keren,['keren'],['keren'],1
vey good,"['vey', 'good']","['vey', 'good']",1
tp sayang gambar n video trailer film gak muncul,"['tp', 'sayang', 'gambar', 'n', 'video', 'trailer', 'film', 'gak', 'muncul']","['tp', 'sayang', 'gambar', 'video', 'trailer', 'film', 'gak', 'muncul']",1
"poster film sering kali tidak muncul, kadang loading lama","['poster', 'film', 'sering', 'kali', 'tidak', 'muncul', 'kadang', 'loading', 'lama']","['poster', 'film', 'muncul', 'kadang', 'loading']",1
kok sekarang ga ada gambarnya sih film apa sj yg tersedia. video trailernya jg ngga bs di tonton skrg,"['kok', 'sekarang', 'ga', 'ada', 'gambarnya', 'sih', 'film', 'apa', 'sj', 'yg', 'tersedia', 'video', 'trailernya', 'jg', 'ngga', 'bs', 'di', 'tonton', 'skrg']","['ga', 'gambar', 'sih', 'film', 'sj', 'yg', 'sedia', 'video', 'trailer', 'jg', 'ngga', 'bs', 'tonton', 'skrg']",0
right choice,"['right', 'choice']","['right', 'choice']",1
terbaik,['terbaik'],['baik'],1
"versi 9.1.0 ~ ada satu kekurangan, poster film ga ke load, jadi polos ga ada gambar","['versi', '9.1.0', 'ada', 'satu', 'kekurangan', 'poster', 'film', 'ga', 'ke', 'load', 'jadi', 'polos', 'ga', 'ada', 'gambar']","['versi', '9 1 0', 'kurang', 'poster', 'film', 'ga', 'load', 'polos', 'ga', 'gambar']",1
"Mempermudah banget buat pesen tiket, plus promo promo snack nya. 👍🏻","['mempermudah', 'banget', 'buat', 'pesen', 'tiket', 'plus', 'promo', 'promo', 'snack', 'nya']","['mudah', 'banget', 'sen', 'tiket', 'plus', 'promo', 'promo', 'snack']",1
kren,['kren'],['kren'],1
"Udah ga bisa login lagi, login hanya bisa menggunakan nomor telpon dan tidak ada opsi lain lagi, klo nomor ilang/hangus akun nya juga ikut hilang","['udah', 'ga', 'bisa', 'login', 'lagi', 'login', 'hanya', 'bisa', 'menggunakan', 'nomor', 'telpon', 'dan', 'tidak', 'ada', 'opsi', 'lain', 'lagi', 'klo', 'nomor', 'ilang/hangus', 'akun', 'nya', 'juga', 'ikut', 'hilang']","['udah', 'ga', 'login', 'login', 'nomor', 'telpon', 'opsi', 'klo', 'nomor', 'ilang hangus', 'akun', 'hilang']",0
"Masih ada saldo kok bermasalah aplikasinya,mau book tiket nonton pilihan seat gak connect..hadeeh trus di display apsnya masa cover Movienya its not Shows, jd Blank item semua","['masih', 'ada', 'saldo', 'kok', 'bermasalah', 'aplikasinya', 'mau', 'book', 'tiket', 'nonton', 'pilihan', 'seat', 'gak', 'connect', 'hadeeh', 'trus', 'di', 'display', 'apsnya', 'masa', 'cover', 'movienya', 'its', 'not', 'shows', 'jd', 'blank', 'item', 'semua']","['saldo', 'masalah', 'aplikasi', 'book', 'tiket', 'nonton', 'pilih', 'seat', 'gak', 'connect', 'hadeeh', 'trus', 'display', 'apsnya', 'cover', 'movienya', 'its', 'not', 'shows', 'jd', 'blank', 'item']",0
bagus bisa di percaya,"['bagus', 'bisa', 'di', 'percaya']","['bagus', 'percaya']",1
terimakasih🙏,['terimakasih🙏'],['terimakasih'],1
keren,['keren'],['keren'],1
simple make nya,"['simple', 'make', 'nya']","['simple', 'make']",1
"sangat membantu utk pesan online,hanya saat ini tidak bisa melihat tayangan film XXI","['sangat', 'membantu', 'utk', 'pesan', 'online', 'hanya', 'saat', 'ini', 'tidak', 'bisa', 'melihat', 'tayangan', 'film', 'xxi']","['bantu', 'utk', 'pesan', 'online', 'tayang', 'film', 'xxi']",1
ok terbantu,"['ok', 'terbantu']","['ok', 'bantu']",1
mantap,['mantap'],['mantap'],1
sangat bagus,"['sangat', 'bagus']",['bagus'],1
nice,['nice'],['nice'],1
"aplikasinya ada masalah atau gimana?signal saya bgs tpi filmnya ga ada gambar sma trailer, ribet sda bka m tix tpi ga ada gambar sama trailernya, jdi hrs cri di google lagi","['aplikasinya', 'ada', 'masalah', 'atau', 'gimana', 'signal', 'saya', 'bgs', 'tpi', 'filmnya', 'ga', 'ada', 'gambar', 'sma', 'trailer', 'ribet', 'sda', 'bka', 'm', 'tix', 'tpi', 'ga', 'ada', 'gambar', 'sama', 'trailernya', 'jdi', 'hrs', 'cri', 'di', 'google', 'lagi']","['aplikasi', 'gimana', 'signal', 'bgs', 'tpi', 'film', 'ga', 'gambar', 'sma', 'trailer', 'ribet', 'sda', 'bka', 'tix', 'tpi', 'ga', 'gambar', 'trailer', 'jdi', 'hrs', 'cri', 'google']",0
"Aplikasi terburuk, tdk ada gmbar film cuma tulisan doang. boro2 menampilkan cuplikan film. keliatan berat bgt. mkin diupdate mkn parah pelayannnya","['aplikasi', 'terburuk', 'tdk', 'ada', 'gmbar', 'film', 'cuma', 'tulisan', 'doang', 'boro2', 'menampilkan', 'cuplikan', 'film', 'keliatan', 'berat', 'bgt', 'mkin', 'diupdate', 'mkn', 'parah', 'pelayannnya']","['aplikasi', 'buruk', 'tdk', 'gmbar', 'film', 'tulis', 'doang', 'boro2', 'tampil', 'cuplik', 'film', 'liat', 'berat', 'bgt', 'mkin', 'diupdate', 'mkn', 'parah', 'pelayannnya']",0
keren,['keren'],['keren'],1
tolong e wallet diperbanyak sbg alat pembayar di mtix,"['tolong', 'e', 'wallet', 'diperbanyak', 'sbg', 'alat', 'pembayar', 'di', 'mtix']","['tolong', 'wallet', 'banyak', 'sbg', 'alat', 'bayar', 'mtix']",0
keren,['keren'],['keren'],1
Bagus Cepat. Terima Kasih,"['bagus', 'cepat', 'terima', 'kasih']","['bagus', 'cepat', 'terima', 'kasih']",1
mudah digunakan,"['mudah', 'digunakan']",['mudah'],1
bagusan yg dlu bisa liat trailer dan posternya skrng kok ngkk bisa ya,"['bagusan', 'yg', 'dlu', 'bisa', 'liat', 'trailer', 'dan', 'posternya', 'skrng', 'kok', 'ngkk', 'bisa', 'ya']","['bagus', 'yg', 'dlu', 'liat', 'trailer', 'poster', 'skrng', 'ngkk']",0
"kok tempat ku ga masuk ya di daftar kotanya ..kota sampit, kalimantan tengah padahal mau beli tiket online aja biar ga kehabisan..","['kok', 'tempat', 'ku', 'ga', 'masuk', 'ya', 'di', 'daftar', 'kotanya', 'kota', 'sampit', 'kalimantan', 'tengah', 'padahal', 'mau', 'beli', 'tiket', 'online', 'aja', 'biar', 'ga', 'kehabisan']","['ku', 'ga', 'daftar', 'kota', 'kota', 'sampit', 'kalimantan', 'tengah', 'beli', 'tiket', 'online', 'aja', 'biar', 'ga', 'habis']",1
kereenn,['kereenn'],['kereenn'],1
tampak buruk dalam visual. untuk nonton trailer film aja tidak bisa. gimana mau menarik pelanggan kalau web nya jelek,"['tampak', 'buruk', 'dalam', 'visual', 'untuk', 'nonton', 'trailer', 'film', 'aja', 'tidak', 'bisa', 'gimana', 'mau', 'menarik', 'pelanggan', 'kalau', 'web', 'nya', 'jelek']","['buruk', 'visual', 'nonton', 'trailer', 'film', 'aja', 'gimana', 'tarik', 'langgan', 'web', 'jelek']",0
geblank gak ada poster filim musti diperbaiki upgrade aplikasinya,"['geblank', 'gak', 'ada', 'poster', 'filim', 'musti', 'diperbaiki', 'upgrade', 'aplikasinya']","['geblank', 'gak', 'poster', 'filim', 'musti', 'baik', 'upgrade', 'aplikasi']",0
"tolonglah kalo voucher nya emang udh habis dan ga bisa dipake lagi, gak usah ditampilkan di menu bagian promo","['tolonglah', 'kalo', 'voucher', 'nya', 'emang', 'udh', 'habis', 'dan', 'ga', 'bisa', 'dipake', 'lagi', 'gak', 'usah', 'ditampilkan', 'di', 'menu', 'bagian', 'promo']","['tolong', 'kalo', 'voucher', 'emang', 'udh', 'habis', 'ga', 'dipake', 'gak', 'tampil', 'menu', 'promo']",0
sangat membantu,"['sangat', 'membantu']",['bantu'],1
aplikasi mudah digunakan dan banyak promo menarik,"['aplikasi', 'mudah', 'digunakan', 'dan', 'banyak', 'promo', 'menarik']","['aplikasi', 'mudah', 'promo', 'tarik']",1
lumayan bagus,"['lumayan', 'bagus']","['lumayan', 'bagus']",1
"makin kesih makin jelek aja ini apliaksih, gambar film tdk ada yg terbuka.","['makin', 'kesih', 'makin', 'jelek', 'aja', 'ini', 'apliaksih', 'gambar', 'film', 'tdk', 'ada', 'yg', 'terbuka']","['sih', 'jelek', 'aja', 'apliaksih', 'gambar', 'film', 'tdk', 'yg', 'buka']",0
"kenapa biaya admin per tiket, dan kenapa harus ada biaya admin? ini kan aplikasi anda sendiri","['kenapa', 'biaya', 'admin', 'per', 'tiket', 'dan', 'kenapa', 'harus', 'ada', 'biaya', 'admin', 'ini', 'kan', 'aplikasi', 'anda', 'sendiri']","['biaya', 'admin', 'tiket', 'biaya', 'admin', 'aplikasi']",0
"bikin collab sama MLBB kaya ga niat, sekelas XXI bisa ngelag dongo","['bikin', 'collab', 'sama', 'mlbb', 'kaya', 'ga', 'niat', 'sekelas', 'xxi', 'bisa', 'ngelag', 'dongo']","['bikin', 'collab', 'mlbb', 'kaya', 'ga', 'niat', 'kelas', 'xxi', 'ngelag', 'dongo']",0
"ok la, tapi mahal 😁","['ok', 'la', 'tapi', 'mahal']","['ok', 'la', 'mahal']",1
m tix XXI emang oye,"['m', 'tix', 'xxi', 'emang', 'oye']","['tix', 'xxi', 'emang', 'oye']",1
"aku buka mau liat film papa zola tapi gak ada poster nya , tapi semua nya juga gak ada poster nya","['aku', 'buka', 'mau', 'liat', 'film', 'papa', 'zola', 'tapi', 'gak', 'ada', 'poster', 'nya', 'tapi', 'semua', 'nya', 'juga', 'gak', 'ada', 'poster', 'nya']","['buka', 'liat', 'film', 'papa', 'zola', 'gak', 'poster', 'gak', 'poster']",0
keren,['keren'],['keren'],1
mantap,['mantap'],['mantap'],1
good,['good'],['good'],1
aplikasi yang mudah dan cepat untuk pesan tiket nonton dan banyak promo,"['aplikasi', 'yang', 'mudah', 'dan', 'cepat', 'untuk', 'pesan', 'tiket', 'nonton', 'dan', 'banyak', 'promo']","['aplikasi', 'mudah', 'cepat', 'pesan', 'tiket', 'nonton', 'promo']",1
gambar tidak terlihat,"['gambar', 'tidak', 'terlihat']",['gambar'],0
oke,['oke'],['oke'],1
bagus sekali fiturnya,"['bagus', 'sekali', 'fiturnya']","['bagus', 'fiturnya']",1
jos jis,"['jos', 'jis']","['jos', 'jis']",1
good,['good'],['good'],1
best,['best'],['best'],1
sangat membantu,"['sangat', 'membantu']",['bantu'],1
good,['good'],['good'],1
lebih nyaman byk jenis digital pembayaran yg bisa dipilih,"['lebih', 'nyaman', 'byk', 'jenis', 'digital', 'pembayaran', 'yg', 'bisa', 'dipilih']","['nyaman', 'byk', 'jenis', 'digital', 'bayar', 'yg', 'pilih']",1
cepat prosesnya,"['cepat', 'prosesnya']","['cepat', 'proses']",1
oke,['oke'],['oke'],1
"saya kasi bintang 2, kenapa sekarang buka apk nya daftar film sedang tayang sama coming soon nya sebagian besar gak muncul gambar/posternya, hanya 1 atau 2 film aja yg muncul gambar/posternya","['saya', 'kasi', 'bintang', '2', 'kenapa', 'sekarang', 'buka', 'apk', 'nya', 'daftar', 'film', 'sedang', 'tayang', 'sama', 'coming', 'soon', 'nya', 'sebagian', 'besar', 'gak', 'muncul', 'gambar/posternya', 'hanya', '1', 'atau', '2', 'film', 'aja', 'yg', 'muncul', 'gambar/posternya']","['kasi', 'bintang', '2', 'buka', 'apk', 'daftar', 'film', 'tayang', 'coming', 'soon', 'gak', 'muncul', 'gambar poster', '1', '2', 'film', 'aja', 'yg', 'muncul', 'gambar poster']",0
bgusss,['bgusss'],['bgusss'],1
poster dan trailer tidak muncul,"['poster', 'dan', 'trailer', 'tidak', 'muncul']","['poster', 'trailer', 'muncul']",0
admin fee mahal,"['admin', 'fee', 'mahal']","['admin', 'fee', 'mahal']",0
"ada bug di awal buka, SM S24 mas iya ngelag","['ada', 'bug', 'di', 'awal', 'buka', 'sm', 's24', 'mas', 'iya', 'ngelag']","['bug', 'buka', 'sm', 's24', 'mas', 'iya', 'ngelag']",0
joss jiss,"['joss', 'jiss']","['joss', 'jiss']",1
sangat mudah dalam penggunaan,"['sangat', 'mudah', 'dalam', 'penggunaan']","['mudah', 'guna']",1
"pliss sediakan rating/bintang filmnya dr penonton yg sudah beli tiket via mtix, jadi kita mau beli tiket lebih tertarik gitu bisa review dr orang2 yg sudah lihat","['pliss', 'sediakan', 'rating/bintang', 'filmnya', 'dr', 'penonton', 'yg', 'sudah', 'beli', 'tiket', 'via', 'mtix', 'jadi', 'kita', 'mau', 'beli', 'tiket', 'lebih', 'tertarik', 'gitu', 'bisa', 'review', 'dr', 'orang2', 'yg', 'sudah', 'lihat']","['pliss', 'sedia', 'rating bintang', 'film', 'dr', 'tonton', 'yg', 'beli', 'tiket', 'via', 'mtix', 'beli', 'tiket', 'tarik', 'gitu', 'review', 'dr', 'orang2', 'yg']",1
mudah dan aman,"['mudah', 'dan', 'aman']","['mudah', 'aman']",1
good,['good'],['good'],1
bagus,['bagus'],['bagus'],1
good job!,"['good', 'job']","['good', 'job']",1
bagus dan cepat,"['bagus', 'dan', 'cepat']","['bagus', 'cepat']",1
memudahkan untuk pembelian tiket sayangnya tidak bisa untuk pembelian tiket besok.,"['memudahkan', 'untuk', 'pembelian', 'tiket', 'sayangnya', 'tidak', 'bisa', 'untuk', 'pembelian', 'tiket', 'besok']","['mudah', 'beli', 'tiket', 'sayang', 'beli', 'tiket', 'besok']",1
pelayanan luar biasa,"['pelayanan', 'luar', 'biasa']",['layan'],1
mudah dan cepat,"['mudah', 'dan', 'cepat']","['mudah', 'cepat']",1
makin jelek aplikasinya.. baliki tampilan yg dulu. lbh gampang dan ga lemot.,"['makin', 'jelek', 'aplikasinya', 'baliki', 'tampilan', 'yg', 'dulu', 'lbh', 'gampang', 'dan', 'ga', 'lemot']","['jelek', 'aplikasi', 'balik', 'tampil', 'yg', 'lbh', 'gampang', 'ga', 'lot']",0
mantap,['mantap'],['mantap'],1
Aplikasinya bagus dan sesuai dengan harapan app developer and maker. Tingkat kepuasannya hampir sepenuhnya memuaskan dan pengalamannya menarik dan tidak membosankan. Terima kasih atas layanan yang baik dan perhatiannya. Semoga lancar rezekinya dan sehat selalu buat para keluarga Indonesia.,"['aplikasinya', 'bagus', 'dan', 'sesuai', 'dengan', 'harapan', 'app', 'developer', 'and', 'maker', 'tingkat', 'kepuasannya', 'hampir', 'sepenuhnya', 'memuaskan', 'dan', 'pengalamannya', 'menarik', 'dan', 'tidak', 'membosankan', 'terima', 'kasih', 'atas', 'layanan', 'yang', 'baik', 'dan', 'perhatiannya', 'semoga', 'lancar', 'rezekinya', 'dan', 'sehat', 'selalu', 'buat', 'para', 'keluarga', 'indonesia']","['aplikasi', 'bagus', 'sesuai', 'harap', 'app', 'developer', 'and', 'maker', 'tingkat', 'puas', 'sepenuh', 'muas', 'alam', 'tarik', 'bosan', 'terima', 'kasih', 'layan', 'perhati', 'moga', 'lancar', 'rezeki', 'sehat', 'keluarga', 'indonesia']",1
seru,['seru'],['seru'],1
good,['good'],['good'],1
bagus mantap,"['bagus', 'mantap']","['bagus', 'mantap']",1
keren,['keren'],['keren'],1
terbaik,['terbaik'],['baik'],1
mantaps,['mantaps'],['mantaps'],1
haujek,['haujek'],['haujek'],1
nice app,"['nice', 'app']","['nice', 'app']",1
mudah gak usah antri -antri,"['mudah', 'gak', 'usah', 'antri']","['mudah', 'gak', 'antri']",1
Pembayarannya ribet bangeert ! Berulang kali gagal deuiii. Plus punya beberapa rek bank. Tapi gak ada yang sesuai.,"['pembayarannya', 'ribet', 'bangeert', 'berulang', 'kali', 'gagal', 'deuiii', 'plus', 'punya', 'beberapa', 'rek', 'bank', 'tapi', 'gak', 'ada', 'yang', 'sesuai']","['bayar', 'ribet', 'bangeert', 'ulang', 'gagal', 'deuiii', 'plus', 'rek', 'bank', 'gak', 'sesuai']",1
aplikasi bagus tapi tidak ada fitur untuk me-review layanan bioskopnya atau review orderan makanannya,"['aplikasi', 'bagus', 'tapi', 'tidak', 'ada', 'fitur', 'untuk', 'me-review', 'layanan', 'bioskopnya', 'atau', 'review', 'orderan', 'makanannya']","['aplikasi', 'bagus', 'fitur', 'me-review', 'layan', 'bioskop', 'review', 'order', 'makan']",0
mantap,['mantap'],['mantap'],1
good,['good'],['good'],1
bagus,['bagus'],['bagus'],1
Aplikasi setelah diUpgrade jelek. Tidak dapat membuka gambar film yg tayang. hanya muncul tulisan judul saja...nyesel,"['aplikasi', 'setelah', 'diupgrade', 'jelek', 'tidak', 'dapat', 'membuka', 'gambar', 'film', 'yg', 'tayang', 'hanya', 'muncul', 'tulisan', 'judul', 'saja', 'nyesel']","['aplikasi', 'diupgrade', 'jelek', 'buka', 'gambar', 'film', 'yg', 'tayang', 'muncul', 'tulis', 'judul', 'nyesel']",0
"cepat,dan gak ada masalah utk pembelian tiket","['cepat', 'dan', 'gak', 'ada', 'masalah', 'utk', 'pembelian', 'tiket']","['cepat', 'gak', 'utk', 'beli', 'tiket']",1
oke banget,"['oke', 'banget']","['oke', 'banget']",1
jadi lebih mudah 😍,"['jadi', 'lebih', 'mudah']",['mudah'],1
pakai m.tik lebih mudah,"['pakai', 'm.tik', 'lebih', 'mudah']","['pakai', 'm tik', 'mudah']",1
praktis tanpa antri,"['praktis', 'tanpa', 'antri']","['praktis', 'antri']",1
good,['good'],['good'],1
respon lambat,"['respon', 'lambat']","['respon', 'lambat']",0
ok,['ok'],['ok'],1
mantap,['mantap'],['mantap'],1
terbaik,['terbaik'],['baik'],1
bnyakin promo lagi ya...pokoknya isbthe best,"['bnyakin', 'promo', 'lagi', 'ya', 'pokoknya', 'isbthe', 'best']","['bnyakin', 'promo', 'pokok', 'isbthe', 'best']",1
mantap,['mantap'],['mantap'],1
lebih membantu pembelian tiket dan mudah digunakan,"['lebih', 'membantu', 'pembelian', 'tiket', 'dan', 'mudah', 'digunakan']","['bantu', 'beli', 'tiket', 'mudah']",1
"fast fest, apk juga lancar tanpa banyak iklan","['fast', 'fest', 'apk', 'juga', 'lancar', 'tanpa', 'banyak', 'iklan']","['fast', 'fest', 'apk', 'lancar', 'iklan']",1
sangat membantu,"['sangat', 'membantu']",['bantu'],1
bagus sih.,"['bagus', 'sih']","['bagus', 'sih']",1
g bs d buka videony,"['g', 'bs', 'd', 'buka', 'videony']","['bs', 'buka', 'videony']",0
ok mantap,"['ok', 'mantap']","['ok', 'mantap']",1
good,['good'],['good'],1
GOOD!!,['good'],['good'],1
mantap,['mantap'],['mantap'],1
ok,['ok'],['ok'],1
ini gak ada pilihan untuk lupa password? sudah di cek berkali2 kok gak ketemu mungkin bisa dicek lagi untuk pengembangan aplikasi,"['ini', 'gak', 'ada', 'pilihan', 'untuk', 'lupa', 'password', 'sudah', 'di', 'cek', 'berkali2', 'kok', 'gak', 'ketemu', 'mungkin', 'bisa', 'dicek', 'lagi', 'untuk', 'pengembangan', 'aplikasi']","['gak', 'pilih', 'lupa', 'password', 'cek', 'berkali2', 'gak', 'ketemu', 'cek', 'kembang', 'aplikasi']",0
sangat membantu dan memudahkan,"['sangat', 'membantu', 'dan', 'memudahkan']","['bantu', 'mudah']",1
baru kali ini ngerasa kecewa kode voucher beli 1 gratis 1 bisa di pakai tapi harga tidak di kurangin sesuai program / sesuai tarif normal,"['baru', 'kali', 'ini', 'ngerasa', 'kecewa', 'kode', 'voucher', 'beli', '1', 'gratis', '1', 'bisa', 'di', 'pakai', 'tapi', 'harga', 'tidak', 'di', 'kurangin', 'sesuai', 'program', 'sesuai', 'tarif', 'normal']","['ngerasa', 'kecewa', 'kode', 'voucher', 'beli', '1', 'gratis', '1', 'pakai', 'harga', 'rangin', 'sesuai', 'program', 'sesuai', 'tarif', 'normal']",0
sangat memuaskan,"['sangat', 'memuaskan']",['muas'],1
mtix sdh tdk bisa top up,"['mtix', 'sdh', 'tdk', 'bisa', 'top', 'up']","['mtix', 'sdh', 'tdk', 'top', 'up']",1
oke sangat membantu,"['oke', 'sangat', 'membantu']","['oke', 'bantu']",1
mantap,['mantap'],['mantap'],1
good,['good'],['good'],1
bagus,['bagus'],['bagus'],1
good,['good'],['good'],1
"lebih cepet pesen online, ga pke ribet. TPI sayang adminya lumayan .coba ga pke admin...","['lebih', 'cepet', 'pesen', 'online', 'ga', 'pke', 'ribet', 'tpi', 'sayang', 'adminya', 'lumayan', 'ga', 'pke', 'admin']","['cepet', 'sen', 'online', 'ga', 'pke', 'ribet', 'tpi', 'sayang', 'adminya', 'lumayan', 'ga', 'pke', 'admin']",1
mudah digunakan,"['mudah', 'digunakan']",['mudah'],1
mantap... tingkatkan lagi kualitas pelayanan.,"['mantap', 'tingkatkan', 'lagi', 'kualitas', 'pelayanan']","['mantap', 'tingkat', 'kualitas', 'layan']",1
good,['good'],['good'],1
"oke,mantap","['oke', 'mantap']","['oke', 'mantap']",1
keren🚀,['keren🚀'],['keren'],1
topcerr,['topcerr'],['topcerr'],1
langsung bisa cepet banget,"['langsung', 'bisa', 'cepet', 'banget']","['cepet', 'banget']",1
ok,['ok'],['ok'],1
goooooood,['goooooood'],['goooooood'],1
cepat dan praktis,"['cepat', 'dan', 'praktis']","['cepat', 'praktis']",1
menonton jdi LBH mudah,"['menonton', 'jdi', 'lbh', 'mudah']","['tonton', 'jdi', 'lbh', 'mudah']",1
mau beli tiket harus sepkat ma makanan 😅,"['mau', 'beli', 'tiket', 'harus', 'sepkat', 'ma', 'makanan']","['beli', 'tiket', 'sepkat', 'ma', 'makan']",0
ok,['ok'],['ok'],1
bagus,['bagus'],['bagus'],1
sangat muda menggunakan aplikasi 🫰,"['sangat', 'muda', 'menggunakan', 'aplikasi']","['muda', 'aplikasi']",1
bagus cepat,"['bagus', 'cepat']","['bagus', 'cepat']",1
mantap,['mantap'],['mantap'],1
good,['good'],['good'],1
"mantep, sat set pembelian berhasil","['mantep', 'sat', 'set', 'pembelian', 'berhasil']","['mantep', 'sat', 'set', 'beli', 'hasil']",1
kenapa saya sudah reset pin dari kemarin belum bisa login ya,"['kenapa', 'saya', 'sudah', 'reset', 'pin', 'dari', 'kemarin', 'belum', 'bisa', 'login', 'ya']","['reset', 'pin', 'kemarin', 'login']",0
Good services...,"['good', 'services']","['good', 'services']",1
thx u mtix,"['thx', 'u', 'mtix']","['thx', 'mtix']",1
cepat dalam proses pembelian tiketnya,"['cepat', 'dalam', 'proses', 'pembelian', 'tiketnya']","['cepat', 'proses', 'beli', 'tiket']",1
ok,['ok'],['ok'],1
apk nya mantap,"['apk', 'nya', 'mantap']","['apk', 'mantap']",1
