content,score
"Saya sudah mencoba daftar M.Tix, tapi tidak bisa karena saya sudah sesuaikan email saya, nomor telepon saya, tanggal lahir saya kadang dibedain, terus ketik PIN dan nomor OTP nya dan daftar ke akun Google tetap tidak bisa.. Setelah itu tungguin informasi kode dari XXI juga tetap ga keluar juga.. Bagi pemilik M-tix tolong dibantu yaa terimakasih🙏",3
"Aplikasi terburuk, tdk ada gmbar film cuma tulisan doang. boro2 menampilkan cuplikan film. keliatan berat bgt. mkin diupdate mkn parah pelayannnya",1
keren,5
tolong e wallet diperbanyak sbg alat pembayar di mtix,1
keren,5
Bagus Cepat. Terima Kasih,5
mudah digunakan,5
bagusan yg dlu bisa liat trailer dan posternya skrng kok ngkk bisa ya,1
"kok tempat ku ga masuk ya di daftar kotanya ..kota sampit, kalimantan tengah padahal mau beli tiket online aja biar ga kehabisan..",4
kereenn,5
tampak buruk dalam visual. untuk nonton trailer film aja tidak bisa. gimana mau menarik pelanggan kalau web nya jelek,2
geblank gak ada poster filim musti diperbaiki upgrade aplikasinya,2
"tolonglah kalo voucher nya emang udh habis dan ga bisa dipake lagi, gak usah ditampilkan di menu bagian promo",1
sangat membantu,5
aplikasi mudah digunakan dan banyak promo menarik,5
lumayan bagus,5
"makin kesih makin jelek aja ini apliaksih, gambar film tdk ada yg terbuka.",1
"kenapa biaya admin per tiket, dan kenapa harus ada biaya admin? ini kan aplikasi anda sendiri",1
"bikin collab sama MLBB kaya ga niat, sekelas XXI bisa ngelag dongo",1
"ok la, tapi mahal 😁",5
m tix XXI emang oye,5
"aku buka mau liat film papa zola tapi gak ada poster nya , tapi semua nya juga gak ada poster nya",1
keren,4
mantap,5
good,5
aplikasi yang mudah dan cepat untuk pesan tiket nonton dan banyak promo,5
gambar tidak terlihat,2
oke,5
bagus sekali fiturnya,5
jos jis,5
good,5
best,5
sangat membantu,5
good,5
🙏🏻👍🏻,5
lebih nyaman byk jenis digital pembayaran yg bisa dipilih,5
gambar dan video tidak terlihat sama sekali,3
cepat prosesnya,5
oke,5
"saya kasi bintang 2, kenapa sekarang buka apk nya daftar film sedang tayang sama coming soon nya sebagian besar gak muncul gambar/posternya, hanya 1 atau 2 film aja yg muncul gambar/posternya",2
bgusss,5
poster dan trailer tidak muncul,2
admin fee mahal,1
"ada bug di awal buka, SM S24 mas iya ngelag",1
joss jiss,5
sangat mudah dalam penggunaan,5
"pliss sediakan rating/bintang filmnya dr penonton yg sudah beli tiket via mtix, jadi kita mau beli tiket lebih tertarik gitu bisa review dr orang2 yg sudah lihat",5
mudah dan aman,5
good,5
bagus,5
good job!,5
bagus dan cepat,5
memudahkan untuk pembelian tiket sayangnya tidak bisa untuk pembelian tiket besok.,4
pelayanan luar biasa,5
mudah dan cepat,5
makin jelek aplikasinya.. baliki tampilan yg dulu. lbh gampang dan ga lemot.,1
mantap,5
Aplikasinya bagus dan sesuai dengan harapan app developer and maker. Tingkat kepuasannya hampir sepenuhnya memuaskan dan pengalamannya menarik dan tidak membosankan. Terima kasih atas layanan yang baik dan perhatiannya. Semoga lancar rezekinya dan sehat selalu buat para keluarga Indonesia.,5
seru,5
good,5
bagus mantap,5
"saya kena bug engga bisa liat poster apk maupun diweb resmi, jdi saya kasi b3🙏🏽",3
keren,5
terbaik,5
mantaps,5
haujek,5
nice app,5
mudah gak usah antri -antri,5
Pembayarannya ribet bangeert ! Berulang kali gagal deuiii. Plus punya beberapa rek bank. Tapi gak ada yang sesuai.,4
aplikasi bagus tapi tidak ada fitur untuk me-review layanan bioskopnya atau review orderan makanannya,2
mantap,5
good,5
bagus,5
Aplikasi setelah diUpgrade jelek. Tidak dapat membuka gambar film yg tayang. hanya muncul tulisan judul saja...nyesel,2
"cepat,dan gak ada masalah utk pembelian tiket",5
oke banget,5
jadi lebih mudah 😍,5
pakai m.tik lebih mudah,5
"ada terdapat bug, di gambar filmnya tidak muncul dan trailer film nya, mohon di perbaiki",3
praktis tanpa antri,5
good,5
baik,5
respon lambat,1
ok,5
mantap,5
terbaik,5
bnyakin promo lagi ya...pokoknya isbthe best,5
mantap,5
lebih membantu pembelian tiket dan mudah digunakan,5
"fast fest, apk juga lancar tanpa banyak iklan",4
🤟👍,5
sangat membantu,5
bagus sih.,5
g bs d buka videony,1
ok mantap,5
good,5
GOOD!!,5
mantap,5
ok,5
ini gak ada pilihan untuk lupa password? sudah di cek berkali2 kok gak ketemu mungkin bisa dicek lagi untuk pengembangan aplikasi,2
sangat membantu dan memudahkan,5
baru kali ini ngerasa kecewa kode voucher beli 1 gratis 1 bisa di pakai tapi harga tidak di kurangin sesuai program / sesuai tarif normal,2
sangat memuaskan,5
mtix sdh tdk bisa top up,5
oke sangat membantu,5
mantap,5
good,4
bagus,5
good,5
"lebih cepet pesen online, ga pke ribet. TPI sayang adminya lumayan .coba ga pke admin...",5
mudah digunakan,5
mantap... tingkatkan lagi kualitas pelayanan.,5
good,5
"oke,mantap",5
keren🚀,5
luar biasa,5
topcerr,5
langsung bisa cepet banget,5
ok,5
goooooood,5
cepat dan praktis,5
menonton jdi LBH mudah,5
mau beli tiket harus sepkat ma makanan 😅,1
ok,5
bagus,5
sangat muda menggunakan aplikasi 🫰,5
bagus cepat,5
mantap,5
good,5
"mantep, sat set pembelian berhasil",5
kenapa saya sudah reset pin dari kemarin belum bisa login ya,2
Good services...,5
thx u mtix,5
cepat dalam proses pembelian tiketnya,5
ok,5
apk nya mantap,5
semakin mudah karena bisa sync dengan e wallet lain .. gud,5
waw,5
good option,5
mantaap,5
Simpel,5
good,5
TOP,5
gampang,5
mantap,5
Nice,4
simple dan praktis,5
enggak bisa di gunakan masuk login malah di nanyain pin baru juga mau jadi pengguna akun m-tik ehh malah kaya gitu udah buat akun baru tetap saja tidak bisa lain kali aplikasinya tolong yang benar jelek banget gak bisa login,3
so good,4
cepet ya,5
"Aplikasi yang banyak kenangannya, walaupun hanya pernah sekali pake ini, tapi itu akan menjadi saksi bisu bahwa diriku dulu pernah bahagia. Selamat menempuh perjalanan baru bersamanya, Shalza Sabylla ♡",5
sangat mempermudah,5
proses cepat dan gak ribet,5
"Kalo bisa tambah metode pembayaran e-walet seperti OVO, DANA, SHOPEEPAY dan KASPRO, terima kasih.",5
ok,5
josjis pokoke,5
puas banget,5
good application,5
sayang ada biaya booking nya,3
kenapa ga dari dulu punya 😝,5
very convenient to use,5
good,5
sangat mudah dan simple.imformasinya juga lengkap,5
sangat membatu dan simple,5
"ok..gmpng denk PK mtix, dulu susah login..aneh hehehe",5
awesome,5
very good,5
good,5
oke bangett,5
oke,5
ok,5
bagus,3
mantap,5
ok,5
nice,5
ok,5
aplikasi mudah di gunakan....berikan promo yg bagus..biar banyak yg nonton ..dan semakin banyak masyarakat yg nonton..,5
baguss,5
simple,5
ok banget,5
keren,5
👍👍👍👍,4
"Cepat, Mudah & Inovatif",5
apik,5
sangat dimudah buat pesan tiket,5
sangat mudah cepat dan tidak perlu antri ga perlu takut kita sudah terkontrol by smart phone dan good system.,5
lemot,5
ok,5
cepat dan mudah,5
"terbaik,semoga makin banyak promo",5
ok,5
"aplikasinya sudah bagus, namun ada sedikit masalah pada saya, poster film dan trailler filmnya tidak muncul atau tidak terload, mohon bantuanya untuk developer, apakah ini bug di saya saja atau emang lagi trouble",5
wah banget,5
suka,5
Nongton Koboy ngeinjek gituan di XXI ya manataap,5
ok respon cepat,5
"BURUK, PAYMENT FAILED SAAT LONG WEEKEND NATARU!",1
👍👍👍,5
pelayanan cepat,4
mudah banget,5
lebih mudah cari bangku,5
manteb,5
super easy to order! 👌,5
biaya administrasi terlalu mahal hanya untuk booking tempat.,3
Terbaik,5
pake allo bank gaess diskon,5
asik,5
mantap,5
mantap,5
Kasih discount donk,4
balikin duitnya,1
Mempermudah akses & nonton pun jd nyaman bgt.. 🥰,5
mantap,5
"mohon di perbaiki sistem voucher nya,, saya mau pake voucher tpi keburu kehabisan waktu untuk proses pembayaran nya,, saya coba lgi buat beli tiket sekalian pake voucher lgi malah ga bisa karena katanya udh ke pake... padahal voucher belum ke pake buat beli tiket",1
mempermudah..👍,5
memudahkan,5
mudah,5
mantaaaaapz,5
Good,5
"Semakin mudah untuk pembelian tiket. Hanya saja kena biaya Administrasi, tapi masik okey gak perlu antri. Thanks",5
ok,5
Sangat Membantu,5
ok,5
Dgn aps ini pemesanan tiket JD mudah,5
sangat praktis & memudahkan,5
good,5
ok,5
"Simple banget dan skrg banyak kemajuan M-Tix. Karena, pendaftaran metode pembayarannya mudah sekali. Serta, memudahkan kami dalam bertransaksi. Interfacenya skrg sudah super duper modern",5
"sebaiknya tidak usah ada admin fee kan sudah di aplikasi resminya, dan jangan digiring untuk wajib beli popcorn",4
keren,5
top,5
"bagus, mudah dan cepat",4
mantap,5
Bagus,5
aplikasi ini memudahkan kita untuk beli tiket nonton secara online tanpa ngantri lagi. bisa juga order makanan dan minuman.,5
Thank you for your kind assistance in purchasing the tickets smoothly without having to queue. Truly appreciated. by. JURAGAN SEBLAK RD,5
keren,5
good,5
kereen,5
ok,5
mudah terbaik,5
kerenn,5
sangat membantu,5
i love it,5
mantap bikin gak ngantri pesen tiket,4
gak ribet cepat,5
Selalu mudah kalau pake m.tix. 👍🏾,5
oke,4
mntap,5
Good,5
simpel & praktis.,5
freeze saat muncul notif ijinkan lokasi di samsung 25 ultra,2
sangat mudah untuk membeli tiket tanpa harus mengantri,5
gak pake repot antri di locket,5
sangat membantu dalam pemesanan tiket nonton,5
mantap,5
sungguh terbantu dg mtix saat tak bw uang tunai.,5
it so fast ....and easy,5
top,5
Nice,5
cepat boking film nya,5
klo bisa ngk usah pakai biaya admin klo pesan online,4
bagus bgt sangat mudah,5
good,5
good,5
pembelian tiket melalui m-tix memang sangat membantu dan tidak perlu antri di konter,5
cool and nice,5
Bagus,5
Memudahkan pemesanan tiket,5
permudah pesen tiket,5
jadi mudah beli tiket film nya,5
gambar film menghilang tolong dibenerin,5
cepat dan tidak ribet,5
Lebih mudah dan cepet.. thanks,5
mantap,5
😍,5
beli makanan lewat aplikasi mungkin karena sedang ramai pengguna pesanan pending padahal pembayaran sudah beres kita di suruh menunggu jika pesanan berhasil pasti akan keluar barcode tapi sampai selesai film sama sekali GK keluar barcode nya akhirnya minta penjelasan ke pihak XXI katanya itu dari mtix nya kita di suruh mengadu ke call center nya di hari kerja tapi sekarang pihak mtix terlalu bertele-tele padahal sudah menunjukan bukti TF dan bukti pemesanan,1
good,5
so useful👍,5
mantap ni aplikasi,5
👍,5
sangat membantu,5
"mantul.... setelah puluhan tahun yl ntn, skrng ntn lagi",5
baik,5
bagusss,5
mudah beli tiket. tapi pake admin yaa.. next bisa free biaya tambahan..,5
ok,5
Semoga aman dan semakin mudah,5
AGAK BINGUNG TAPI TOP LAH FITURNYA.,4
ok,5
bagus membantu,4
OK,5
keren,5
nice apps,5
mantaaap,5
mantap,5
Alhamdulillah semua jd mudah Aamiin,5
cepat booking,5
nice,5
mantap,5
"Luar biasa, sangat praktis dan membantu kepastian tiket. Sukses",5
keren,5
ok,5
"kalau no telfon sudah ga aktif gabisa kirim di wa :( harus SMS. ini agak jengkel sih, solusinya bisa lewat Gmail ato wa aja.",1
oke,5
simpel,5
keren,5
keren,5
bagus,5
susah bayarnya kenapa mesti upload dulu aplikasi lain.memberatkan memori,2
sayangnya ga ada mtix later,3
adakan lagi imax 3d di xxi Surabaya,2
oke,5
easy booking,5
"good. but fee tiket 4idr is to expensive, 1,5idr is oke",5
"memudahkan pemesanan tiket, irit waktu dan tenaga. thanks M-tix",5
mantap,5
praktis dan mudah,5
mantul,5
metode pembayaran sering error,2
sangat memudahkan untuk pesan tiketnya,5
mantap,5
top,5
Bagus,5
bagus dan memudahkan beli tiket,5
m.tix memudahkan untuk memesan tiket gak perlu ngantre dan bisa melihat film2 baru apa ada yg akan tanyang...,5
sangat memudahkan,5
bagus 😎👍,5
mantaphhhhh,5
memudahkan,5
bagus,5
good,5
Mantap mempermudah beli tiket jd gak ribet lagi ngantri .,5
good,5
mantap,5
"mudah, lancar",5
awesome,5
comfortable,5
top,5
ok banget,5
mtix selalu oke punya,5
oke,5
all good,5
bagus,5
Top,5
mahal admin nya,1
good,5
"saldo sudah kepotong, tapi failed, point mtix nggak nambah👎",1
Keren,5
simple dan mudah,5
KNAPA YA SAYA MAU BIKIN AKUN OTP NYA SALAH MULU PADAHAL DI EMAIL UDH BENAR,1
ok,5
"Mantap,sip,ok banget,sangat membantu. terima kasih banyak. semiga sukses selalu.",5
mudah dan tidak sulit,5
memudahkan kami yg tidak bisa pesan tiket Of line terimakasih admin,5
nice,5
Ntapss,5
👍,5
mantap,5
Good 👍👍,5
👍,5
bagus,5
Mantab,5
cukup mudah dapat tiketnyadengan m.tik.. 👍👍,5
memudahkan untuk pesan tiket lebih awal,5
Awesome,5
"mantap lebih midah utm beli ticket, nd perlu antri diloket 🙏🙏",5
okcccccc,5
Sangat mudah untuk memesan tiket dan posisi kursi yang diinginkan,5
mantap,5
memudahkan,5
memudahkan,5
ok baget,5
simple is good,5
tok cer.. mantap ni,5
wow,5
semoga lebih banyak lagi payment yg kerja sama dengan xxi biar mudah,4
sangat membantu,5
nice,5
saya kasih bintang 🌟 dikarenakan tidak ada gambarnya,1
bagus,5
bagus,5
"mudah , praktise dan cepat.",5
Ok Juga Cepet,5
"memudahkan untuk menonton film, jadi gak pusing2 antri untuk beli tiket dan nonton film nya, dan masih bisa pilih kursi yg kita mau",5
"mantaap, dan memudahkan nonton",4
first time beli di m.tix semoga aman🥹,4
Aplikasinya mudah digunakan.,5
baguuuuusssss,5
oke,5
mantap king👑,5
simpel dan sangat bagus untuk tidak mengantri lagi,5
"Tampilan Apk belum sempurna, kadang film yang tayang tidak ada gambar dan video trailer nyaaa",3
good,5
keren memudahkan tdk ush antri,5
baik,5
ngga perlu ngantri,4
enjoynonton,4
aplikasi bagus,5
aplikasi tidak bisa terbuka,1
mantap buat nonton film. makanan nya juga enak. aplikasi nya mudah. topnlah pokoknya,5
sediakan bahasa indonesia,4
bagaimana ini admin kok poster film nya nggak ada gambar nya 😑😐,1
very helpfull,5
mempermudah pembelian tanpa harus ngantri di konter,5
Nice,5
mudah pesannya,5
mantap gan,5
Sangat praktis,5
oke,5
nice,5
mantap,5
oke kak,5
jelekk gk bisa masuk,1
keren,5
"menghemat waktu, tak perlu antri, kursi sudah pasti",5
mantap,5
sangat membantu banget niich,5
"mending beli langsung tiket ditempat dari pada pakai nih aplikasi, kena biaya admin per tiket",1
lebih menghemat waktu dan tanpa antri,5
ok,5
Amazing,5
good,5
nntn jd lebih gampang tanpa antri.,5
suka sangat memudahkn,5
bagus cepat,5
nge bug,1
admin free lebih baik,5
bagus,5
so far sudah bagus tolong ditambahin member kayak di cgv biar ada benefitnya 😁,5
Bagus,5
mantab,5
"aplikasi nya keren..sangat membantu, praktis, cepat dan mudah digunakan, thanks m.tix XXI",5
terbaik,5
saya minta complain karena daerah ku di Sorong kenapa ga ada anime scarlet padahal ada tulisan coming soon 10 des tapi hari ini ga ada tolong kalau mau promosi yang betul,1
gud,5
"biaya lain lain parah, Pajak tolong ciduk Mtix ini",1
good aplikasi,5
"mantappp, tolong promo foodnya di tingkatkan",5
pake biaya admin 4000,3
okay,5
ahay,5
Pelayanan dan system lebih ok,5
good,5
good,5
nice,4
Mantap...,5
mantap,5
Mtix hadiah polisi 4,4
"pesan mfood di mtix tdk keluar sama sekali barcode, minta refund disuruh menunggu 3 hari",1
gembel ngelag terus,1
siipp,4
ok,5
oke,5
easy kalii,5
best,5
"bagus banget, bisa beli tiket online, biar ga keabisan tiket, semoga XXI tetap maju",5
"oke,mantab",5
nice,4
oke,5
good,5
sangat membantu,5
baik sekali,5
bagus,5
ok,5
mantab,5
nice,5
good n satisfied,5
kerenn. tapi admin fee muahal banget haha,5
bagus sih tapi klo bisa jangan delay dong kirim kodenya 😑,4
aplikasi sangat membantu,5
"permasalahnya selalu di code, kodenya lama masuk ke WA, begitu di resend code, muncul kode yg pertama, begitu di input code nya, muncul warning invalid code",1
"aplikasi tolol, ngasih kode Verifikasi lama sampai ke block harus bsknya.. apps sampah!!!",1
good,5
praktis,5
banyakin bonus,4
bikin emosi aplikasinya.. otp aja buset kaya apaan tau lama ngirimnya..,1
"minta OTP tp gak dikirim2, payah ni",2
👌👌👌👌👌👌👌 ok,5
bagus,5
"sangat membantu, nggak perlu ngantri lg🥰",5
like,5
mantap,5
Kendala pada saat pengiriman kode OTP yang delay bahkan salah kode saat hendak login,1
Terima kasih,5
Bagus,5
bagus,5
"tolong dong di perbaikin lagi aplikasi nya masa udah payment saldo udah kepotong tapi tiket gak keluar. di tambah lagi karyawan nya tolong edukasi dong biar customer nya tuh faham kendala nya apa masalanya saldo udah terpotong nih tapi karyawan nya cuma bisa ngomong ""tunggu""",1
ngirim kode otp nya lama bgt woii,1
MTix mantap,5
lemot banget sat,1
aplikasi tidak tanggap. mau login code tidak segera dikirim.,1
Okay,5
"Perlu perbaikan aplikasi. Enggak bisa pesen 2 kursi di deretan A. Mau pesan kursi ke-dua tidak bisa, deretan kursi A-nya tidak muncul lagi.",2
SANGAT MEMBANTU DALAM PEMBELIAN TIKET,5
oke,4
cepat dan lancar,5
bagus,5
bagus n mudah digunakan,5
invalid otp gajelas,1
biaya fee tmbah mahal,3
daftar gk bisa login juga gk bisa,1
I always use this aps to order movie ticket. so confience,5
Kenapa setiap saya minta kode otp selalu lama dikirimnya? Padahal sedang butuh cepat tolong segera perbaiki,3
bagus dan mudah... top markotop,5
"Susah login, notifikasi kode ke wa delay parah, padahal untuk input kode ada batas waktu, dan akhirnya limit diminta coba besok. Developernya kureng banget nie, mo nonton aja dibuat sulit.",1
mantap,5
"versi ini terlalu banyak bugsnya. Terutama saat ingin login. untuk verifikasi code yg di kirimkan ke whatsApps sangat susah untuk diterima, sampai saya request untuk resend code berkali2 baru bisa mendapatkan verifikasi codenya. Terus pada saat transaksi sering mengalami kegagalan, dan harus mengulang kembali, dan kursi yg akan dipilih jadinya sudah diambil orng lain. mohon perbaiki bugs untuk versi ini, terimakasih",3
"sudah bagus tapi, jika ingin pindah jam tayang apalagi pindah studio mesti balik ke awal lagi...masih merepotkan dan kurang praktis",5
"susah login, sudah memasukan kode otp sesuai tapi tetep invalid kode",1
bagus,5
"sangat praktis,simple,gampang,",5
"aplikasi paling jelek satu muka bumi, mas amau daftar aja di peesulit nunggu sampe 2 jam kode otp nya telat terus di kirim nya.",1
apk sampah ga bisa login / Regis ulang kode nya invalid Mulu,1
oke,5
"lagi mau order udah TF tiba2 gagal, saldo di ATM udah kepotong.. aplikasi tau2 ke logout, login pin salah padahal udah bener, reset pin gak dapet2 email-nya.. paraah",1
oke,5
perdana🤩,5
"ui/ux oke bgt, order tiket jd praktis & cepet",5
mantap,5
"Dolo dah pernah login,, terus gue uninstall, eh sekrang mau login lagi susah amat parahhhhhh",1
ok,5
"apaan nih aplikasi, otp yang dikirim invalid terus, udah gitu lama kali masuk otpnya.",1
aplikasi ini sangat membantu dan mudah penggunaannyaa.,5
bagus,5
nice,5
"hati beli secara aplikasi, kejadian beli di aplikasi, sudah transfer tp tidak masuk, di complain cm di puter puteran doang, pelayanan kacau banget",1
"setelah saya logout sementara kemudian saya mau masuk lagi selalu gagal, padahal nomor HP dan pasword sudah benar. tambah lagi sudah memesan tiket dan sudah bayar, bagaimana ini?",1
"tolong, lebih di tingkatkan lgi, sinyal bagus tpi aplikasi error",5
"aplikasi eror gajelas, jaringan saya 5G dan gaada masalah di aplikasi lain, tapi gabisa buka aplikasi ini selalu ada notif check your WiFi or celluler data",1
ini knpa ya udh order kga bisa byar pakai qris atau virtual bca ....???,4
"aplikasi busuk, jangan pakai aplikasi ini untuk beli tiket, rugi besar,",1
aplikasi busuk disaat mepet jam nonton malah gak bisa dibuka untuk scan tiket tolong diperbaiki sistemnya agar kalau disaat pembelian rame tidak down,1
lama amat mau mesen tiket doang anjg,1
"aplikasi tidak bisa di buka saat mendekati waktu nonton, developer tolong benerin bug ini",1
"sudah login, verifikasi kode lama dikirimnya. sekali dapat kode tidak valid",1
mempermudah,5
"tidak bisa hapus akun, verifikasi nya susah, sendinh otp 1 mingguan, tidak sesuai tampilan, banyak iklan mengganggu, harga tidak sesuai",2
mau verifikasi nomor hp lama banget wa nya. sejam kemudian.,1
"untuk daftar aja ribet, kode otp berulang salah.",1
good,5
bagus,5
"Bintang 1 karena kena charge admin 4000/ticket. Kelihatan murah, tapi merugikan calon penonton, karena penonton dipaksa beli makanan di aplikasi, sementara isi saldo di aplikasi kena admin 2500 juga. Semakin kapitalis, buat mtix pikir2 dulu kalo mau buat aturan seperti ini. Penonton itu kebanyakan beli makanan dibioskop karena bawa lebih dari 1 orang untuk nonton bareng. Kalo begini terus, penonton bakalan lebih memilih nonton bajakan. Sebuah aturan bodoh, karena gak mau rugi bayar pajak di apk.",1
lambat dan erorw,1
mahal admin,3
mantap,5
sangat memudahkan,5
proses nya cepat,5
...Dpt Diskon Admin dgn Buy M Food... (upgrade promo diskon lagi donk :)),5
"Membantu banget untuk beli tiket, pesan makanan. Aplikasinya juga mudah digunakan",5
tecnologiaa,5
kode otp salah Mulu gajelas banget,2
"jelek, anak it m.tix gmn si bisa maintenance ga? hadeh",2
"Aplikasinya tidak semudah sebelumnya dan kita dikenakan biaya administrasi sebesar 11,4% (kayaknya sih ini pajak) kalau tidak mau jajan di tempat 🙂",4
good,5
promo doang ada tapi ga bisa di pake,3
"memudahkan pembelian tiket ,tidak perlu antri panjang ...the best pokonya m.tix",5
"sangat membatu bisa pesan dari rumah jadi tidak usah ikut antri diloket,, mantap👍",5
"layanan anda memalukan beberapa film anda pangkas begitu saja, saya jadi ketinggalan momen untuk menonton film favorit saya.",1
mantap dah..,5
mempermudah pembelian dan tanpa antri,5
keren,5
👍,5
mantaab deh ..,5
baguss,5
good,5
jadi mudah lah,5
proses cepat dan mantap,5
sangat puas,5
"kemarin kemarin sangat rekomended. tapi belakangan ini malah aneh., review gambarnya nggak keluar sama trailernya nggak bisa di putar. semoga bisa di baharui",3
"aplikasi busuk, jaringan bagus tapi gambar tidak tampil",1
sangat baik,5
guud,5
amazing,5
niceee,5
sangat mempermudah🥳,5
ok,5
keren,4
mantap,5
suka ada bug nya,1
briliant,5
good,5
good,5
dapat tiket tanpa antri.. mantap,5
bagus dan membantu,5
so good...,5
mantap anti lemot yg skrng di update,5
"aplikasi busuk mau daftar aja di persulit,gk di kasih kode vertfikasi nya lama hampir 5 jam gk di kasih kasih,,tolong perbaiki ya,,kasihan sama orang yang mau daftar tapi di persulit kode vertfikasi nya..trima kasih",1
"Bagus, aplikasi sudah tidak berat dan membuat lemot, terima kasih sudah update dan menjadikan aplikasinya lebih ringan dari sebelumnya.",5
"daftar lemot banget ngirim code nya sumpah ini gua ga jadi""",2
"aplikasi Bodoh,mau buat akun saja tidak bisa",1
nice,5
"susah bgt login nya, code yg dr wa nya invalid mulu",3
kode otp lambat banget keluar nya!,2
"buat cs nya coba dong di perbaikin lagi, saya nunggu kode verif bisa hampir set jam",1
"mau log in ajaaa ""kode otpnya lama banget""- sampe masa tunggu kode otp uda habis ! jd mau log in ga bsa uda di coba 4x sampe numpuk kode otpnya dah kadaluarsa semua, gmn ya caranya,",1
kode selalu invailed sampai 1jm ga bsa login!,1
"Ni aplikasi kenapa dah, mau bikin akun aja lama banget kekirim kode otp nomor telponnya . sejam nunggu gakekirim kirim",1
"aplikasi sampah susah bgt kirim otp lama bgt, pas muncul kodenya invalid",1
mau dapat kode otp aja susah banget !! nunggu 15 menit gak di kirim terus.,1
mantap deh,5
barusan di update kok malah nggak ada poster film nya bagaimana ini,1
setelah update tidak bisa lihat trailer nya,2
good,5
"sangat membantu pemesanan tempat dan lebih efisien waktu tanpa perlu antri, sukses slalu M.TIX🙏",5
good,5
biaya admin mahal,4
gabisa verif nomorr dari sms maulun whatsapp udh nyoba 13x emng gajelas.,1
❤️,5
Terbaik,5
poster movie gak muncul diaplikasi,1
sangat bagus,5
"Gesit, ngga ribet",5
gak muncul poster bioskop ya,2
Akhirnya gak repot²lagi Semenjak ada apk ini mantap Polll,5
aplikasi nya mudah digunakan,5
"sia2 beli m.food, film mulai jam 19.05 diambil jam 19.20 aja masih belum siap",1
good,5
baguss👍🏻,5
very good,5
ok,5
seru banyak promo voucher potongan harga yey,5
keren,4
oke,3
cepat,5
Akses mudah untuk order dan pembelian tiket nonton..,5
sat set,5
"bug gambar gk ke reload, padahl jaringan bagus perbaiki!!",1
saya mau nonton beli lewat jam gak dikasih akses.. coba biarin aja konsumen mau pesan tiket walaupun film nya sudah jalan,1
can't refund,1
"sudah update 3 nov tetapi poster film tetap tidak terlihat, rasanya kurang kalau tidak ada posternya",4
bagus,5
mantap,5
Mudah mudah digunakan Mudah,5
ok Keren,5
mantap sudah ada pilihan bayar via virtual account,5
"pada tampilan gambar TIDAK MUNCUL, sudah uninstall dan install lagi masih sama. Gimana dong pengembang",1
bagus,5
keren,5
